"DateT","Pos","Wind_dir","Windspeed_ms","Wave_ht_m","Swell_ht_m","Air_temp_C","Vis","Cloud_cover_pct","fishing","Vessel_SOG","Comments"
2022-11-04 12:48:00,"67d27.4665N 60d38.6841W","WNW",10.7,0.75,1,-6,10,100,"trawling",2.7,"tried since 12:28 to log enironment but matlab crashes"
2022-11-04 14:46:00,"67d27.2214N 61d0.9589W","W",5.5,0.25,1,-6,10,90,"transit",10.2,"transit to shallow station"
2022-11-04 15:40:00,"67d28.2256N 61d23.1567W","W",7.3,1,1.5,-8,15,75,"transit",9.7,"na"
2022-11-04 17:50:00,"67d32.1238N 61d55.9573W","WSW",7,0.5,2.5,-7,15,30,"trawling",3,"na"
2022-11-05 12:00:00,"66d58.4344N 60d52.0382W","NW",9.7,0.1,0.2,-5,15,25,"trawling",3,"gps coord didnt register start point of watch, log from 13:30"
2022-11-05 15:51:00,"66d48.9492N 60d37.0874W","NW",6.4,0.5,0.25,-6.8,15,15,"transit",9.1,"on effort but shallow stations all day"
2022-11-05 17:41:00,"66d45.2714N 60d16.7762W","NW",3.3,0.2,0.5,-6.4,15,100,"hauling",3,"leaving for next station"
2022-11-06 11:40:00,"67d15.8918N 58d18.8176W","W",4.6,0,0.25,-4.5,12,99,"transit",10,"na"
2022-11-06 14:15:00,"67d10.8605N 58d7.8791W","N",5,0.2,0.2,-3.7,10,95,"transit",9,"on route to shallow"
2022-11-06 15:33:00,"67d2.3034N 58d31.585W","N",5,0.3,0.1,-3.2,10,95,"transit",9.8,"na"
2022-11-06 16:01:00,"67d1.3296N 58d35.1863W","N",6.3,0.2,0.25,3.7,5,100,"shooting",6,"na"
