"DateT","Wind_dir","Windspeed_kt","Wave_ht_m","Swell_ht_m","Air_temp_C","Sea_temp_C","Vis","Cloud_cover_pct","Comments","Windspeed_ms","fishing","Vessel_SOG","Latitude","Longitude"
2022-10-31 13:38:00,"NNE",9.3,1,1,0,0,10,80,"na",NA,NA,NA,65.8269666666667,-54.1862333333333
2022-11-01 09:26:00,"NNW",12,0.5,1.5,-4,0.7,15,90,"na",NA,NA,NA,66.9472983333333,-57.649095
2022-11-01 11:41:00,"NNW",10,0.5,1,-4,0.4,15,75,"na",NA,NA,NA,66.93981,-57.668685
2022-11-01 13:58:00,"NW",5,0.2,1,-2,0.3,12,75,"na",NA,NA,NA,66.999925,-57.6105583333333
2022-11-01 18:23:00,"N",5,0.2,0.5,-3,0.4,15,70,"na",NA,NA,NA,66.98347,-57.5980283333333
2022-11-02 12:34:00,"NNE",18,1,0.5,-1.5,0,15,30,"na",NA,NA,NA,67.0004,-57.6734833333333
2022-11-02 15:00:00,"NNE",15,1,0.5,3,0,15,5,"na",NA,NA,NA,67.000445,-57.730185
2022-11-02 16:12:00,"NE",14,0.5,0.5,2,0,15,30,"na",NA,NA,NA,67.07836,-58.2422966666667
2022-11-02 19:24:00,"NE",11,0.4,0.5,-1.1,0,15,30,"na",NA,NA,NA,67.3742166666667,-59.6883733333333
2022-11-03 12:56:00,"NE",1,0.1,0.25,-1.6,0,10,100,"na",NA,NA,NA,67.9299283333333,-62.3256566666667
2022-11-03 13:50:00,"NE",4,0.1,0.25,-1,3,12,100,"waiting at station to deploy trawl",NA,NA,NA,67.925075,-62.19883
2022-11-03 16:00:00,"NW",2,0,1,-0.2,0.5,15,100,"trawl deployed",NA,NA,NA,67.888555,-62.1565533333333
2022-11-03 17:50:00,"W",10,0.25,0.5,-1.7,0,5,100,"snow",NA,NA,NA,67.8088816666667,-61.9060233333333
2022-11-04 12:48:00,"WNW",NA,0.75,1,-6,NA,10,100,"tried since 12:28 to log enironment but matlab crashes",10.7,"trawling",2.7,67.457775,-60.644735
2022-11-04 14:46:00,"W",NA,0.25,1,-6,NA,10,90,"transit to shallow station",5.5,"transit",10.2,67.45369,-61.0159816666667
2022-11-04 15:40:00,"W",NA,1,1.5,-8,NA,15,75,"na",7.3,"transit",9.7,67.4704266666667,-61.385945
2022-11-04 17:50:00,"WSW",NA,0.5,2.5,-7,NA,15,30,"na",7,"trawling",3,67.5353966666667,-61.9326216666667
2022-11-05 12:00:00,"NW",NA,0.1,0.2,-5,NA,15,25,"gps coord didnt register start point of watch, log from 13:30",9.7,"trawling",3,66.9739066666667,-60.8673033333333
2022-11-05 15:51:00,"NW",NA,0.5,0.25,-6.8,NA,15,15,"on effort but shallow stations all day",6.4,"transit",9.1,66.81582,-60.6181233333333
2022-11-05 17:41:00,"NW",NA,0.2,0.5,-6.4,NA,15,100,"leaving for next station",3.3,"hauling",3,66.7545233333333,-60.2796033333333
2022-11-06 11:40:00,"W",NA,0,0.25,-4.5,NA,12,99,"na",4.6,"transit",10,67.2648633333333,-58.3136266666667
2022-11-06 14:15:00,"N",NA,0.2,0.2,-3.7,NA,10,95,"on route to shallow",5,"transit",9,67.1810083333333,-58.1313183333333
2022-11-06 15:33:00,"N",NA,0.3,0.1,-3.2,NA,10,95,"na",5,"transit",9.8,67.03839,-58.5264166666667
2022-11-06 16:01:00,"N",NA,0.2,0.25,3.7,NA,5,100,"na",6.3,"shooting",6,67.02216,-58.5864383333333
